frase	duracao_media_m	total_classificacoes_m	classificacao_majoritaria_m	total_positiva_m	total_negativa_m	total_neutra_m	duracao_media_f	total_classificacoes_f	classificacao_majoritaria_f	total_positiva_f	total_negativa_f	total_neutra_f
A verdade é que sou intensa demais e não há quem dê jeito nisso.	4.56975	4	empate	2	0	2	7.80925	4	empate	0	2	2
Achei uma solução, ou melhor, na minha cabeça era a única solução.	4.00775	4	empate	2	0	2	12.203000000000001	4	empate	2	0	2
Afinal, para mim, que sempre levei vida de esposa fiel, tudo eram novidade, e novidade sempre atraem as mulheres.	43.40225	4	empate	2	0	2	8.789250000000001	4	empate	2	0	2
Ao cair da noite nos dirigimos ao hotel mais próximo da casa, com uma boa aparência, ficava mais a vontade para passar a noite.	5.843500000000001	4	empate	2	0	2	14.34675	4	empate	2	0	2
Brincar de comidinha com as vizinhas !	2.559833333333333	6	empate	3	0	3	2.6237500000000002	4	empate	2	0	2
Ela se interessa por todos os seus assuntos sem pé e sem cabeça.	7.448400000000001	5	empate	2	1	2	6.87375	4	empate	2	0	2
Ele disse que não quer que eu me separe, não quer me ver sozinha.	7.4988	5	empate	2	1	2	10.089500000000001	4	empate	2	0	2
Ele, como eu previa, não tinha camisinha, e eu me recusei a transar daquele jeito.	12.511199999999999	5	empate	2	1	2	8.5835	4	empate	2	2	0
Em vez de cerca, uma ponte foi construída ali, ligando as duas margens do riacho.	4.575	6	empate	3	0	3	5.08525	4	empate	2	0	2
Eu fazia isso, porque eu não sabia o que era o amor.	5.3975	4	empate	0	2	2	8.4025	4	empate	0	2	2
Fiquei com ela e nisso fomos para um motel, nesse dia brinquei com ela dizendo que ela iria se apaixonar por mim.	7.2700000000000005	5	empate	2	1	2	7.44775	4	empate	2	0	2
Foram tantas dificuldades, tantos mistérios, tantas perguntas sem explicação.	12.902499999999998	4	empate	0	2	2	4.77825	4	empate	0	2	2
Hoje acaba uma guerra.	3.7865	4	empate	0	2	2	3.8192	5	empate	2	1	2
Hoje fui dormir 9h da manhã porque eu tinha ido dormir na casa do meu namorado sem meus pais saberem.	6.4384999999999994	4	empate	2	0	2	13.65175	4	empate	0	2	2
Mas estas pessoas são só inúmeros mortais que falam o que da na telha, literalmente, eles não sabem nada sobre mim, e muito menos, sobre o que eu penso.	9.801199999999998	5	empate	2	2	1	12.7675	4	empate	0	2	2
Me refugiei dentro da umbanda com meus guias e guias dos outros.	3.8508333333333336	6	empate	3	0	3	6.097166666666666	6	empate	3	0	3
Na páscoa, lá estávamos nós, no mesmo ano, sozinhos em casa de novo.	3.7865	4	empate	0	2	2	3.8192	5	empate	2	1	2
Nem ao menos um beijo seu eu consegui, mas posso afirmar que não foi necessário para mim me apaixonar loucamente por ti.	29.023333333333337	6	empate	3	0	3	8.561	6	empate	2	2	2
Olá , quem nunca sofreu por amor ou paixão?	4.6690000000000005	4	empate	0	2	2	3.6107500000000003	4	empate	0	2	2
Para ser feliz não existe poção mágica.	4.575	4	empate	2	0	2	2.6555	4	empate	2	0	2
Porque eu fiz a sua alma gêmea.	2.281	4	empate	2	0	2	5.100499999999999	4	empate	2	0	2
Quando o cara tá interessado em mim as vezes eu não tô interessada no cara ou todo mundo ta interessando e não da certo, acontece alguma coisa e pronto.	7.5489999999999995	6	empate	0	3	3	11.2205	4	empate	0	2	2
Quando o sangue esvair do seu corpo, será meu amor indo junto de ti.	7.392333333333333	6	empate	3	3	0	11.9915	4	empate	0	2	2
Só que aconteceu uma coisa engraçada, aliás desde o primeiro dia.	3.55	5	empate	2	1	2	5.2995	4	empate	2	0	2
Tirei a minha calça e eu fiquei só de cueca box cinza e uma regata preta, ela foi ao banheiro e quando voltou veio com uma calcinha fiu dental vermelhinha matadora.	8.34525	4	empate	2	0	2	13.284	4	empate	2	0	2
Uma certa vez, eu tinha menos de 1 mês de namoro quando minha sobrinha nasceu, e meu namorado foi no hospital conhece-la e aproveitar e conhecer uma parte de minha família, que por sinal o adora.	7.14	4	empate	2	0	2	12.679499999999999	4	empate	2	0	2
